mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,random,avoid_walls,False,2,0.7,119.04,7.297013087558497
random,random,avoid_walls,False,2,0.8,119.04,7.297013087558497
random,random,avoid_walls,False,2,0.9,119.03999999999999,7.297013087558497
random,random,avoid_walls,False,2,0.99,119.03999999999999,7.297013087558497
random,latest_strongest,avoid_walls,exclude_walls,2,0.7,118.1,5.534979674759432
random,latest_strongest,avoid_walls,exclude_walls,2,0.8,118.1,5.534979674759432
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,118.1,5.534979674759432
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,118.1,5.534979674759432
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.8,117.85999999999999,3.1359846938401974
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.8,117.85999999999999,3.1359846938401974
handcrafted,random,avoid_walls,exclude_walls,2,0.8,116.52000000000001,1.756587601003719
handcrafted,random,avoid_walls,exclude_walls,2,0.9,116.52000000000001,1.756587601003719
handcrafted,random,avoid_walls,exclude_walls,2,0.99,116.52000000000001,1.7565876010037187
handcrafted,random,avoid_walls,include_walls,2,0.8,116.52000000000001,1.7565876010037187
handcrafted,random,avoid_walls,include_walls,2,0.9,116.52000000000001,1.756587601003719
handcrafted,random,avoid_walls,include_walls,2,0.99,116.52000000000001,1.7565876010037187
random,random,avoid_walls,include_walls,2,0.7,116.42,6.21462790519271
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.99,116.26000000000002,3.0110463297664487
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.99,116.26000000000002,3.0110463297664487
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.9,116.25999999999999,3.011046329766449
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.9,116.25999999999999,3.011046329766449
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.7,116.16,2.6837287493336577
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.7,116.16,2.6837287493336577
random,random,avoid_walls,include_walls,2,0.8,115.62,6.8770342444981285
random,random,avoid_walls,include_walls,2,0.9,115.61999999999998,6.8770342444981285
random,random,avoid_walls,include_walls,2,0.99,115.61999999999998,6.877034244498129
random,latest_strongest,avoid_walls,False,2,0.7,114.22,3.0268135059828203
random,latest_strongest,avoid_walls,False,2,0.9,114.22,3.0268135059828203
random,latest_strongest,avoid_walls,False,2,0.99,114.22,3.0268135059828203
random,latest_strongest,avoid_walls,False,2,0.8,114.21999999999998,3.0268135059828203
handcrafted,random,avoid_walls,False,2,0.8,114.08,6.366914480342895
handcrafted,random,avoid_walls,False,2,0.9,114.08,6.366914480342895
handcrafted,random,avoid_walls,False,2,0.99,114.08,6.366914480342895
episodic,latest,avoid_walls,False,2,0.7,113.97999999999999,5.059011761203962
episodic,latest,avoid_walls,False,2,0.8,113.97999999999999,5.059011761203962
episodic,latest,avoid_walls,False,2,0.9,113.97999999999999,5.059011761203962
episodic,latest,avoid_walls,False,2,0.99,113.97999999999999,5.059011761203962
handcrafted,random,avoid_walls,exclude_walls,2,0.7,113.67999999999999,4.210178143499394
handcrafted,random,avoid_walls,include_walls,2,0.7,113.67999999999999,4.210178143499394
handcrafted,random,avoid_walls,False,2,0.7,112.85999999999999,4.1888423221697
handcrafted,latest_strongest,avoid_walls,False,2,0.8,112.52000000000001,4.891789038787343
handcrafted,latest_strongest,avoid_walls,False,2,0.9,112.52000000000001,4.891789038787344
handcrafted,latest_strongest,avoid_walls,False,2,0.99,112.52000000000001,4.891789038787344
handcrafted,latest_strongest,avoid_walls,False,2,0.7,112.22,5.0320572333788105
random,latest_strongest,avoid_walls,include_walls,2,0.8,111.72,8.901775103876755
random,latest_strongest,avoid_walls,include_walls,2,0.9,111.72,8.901775103876755
random,latest_strongest,avoid_walls,include_walls,2,0.99,111.71999999999998,8.901775103876757
random,latest_strongest,avoid_walls,include_walls,2,0.7,110.66,7.843366624097079
random,random,avoid_walls,exclude_walls,2,0.9,108.46000000000001,5.760763838242288
random,random,avoid_walls,exclude_walls,2,0.7,108.46,5.760763838242288
random,random,avoid_walls,exclude_walls,2,0.8,108.46,5.760763838242289
random,random,avoid_walls,exclude_walls,2,0.99,108.46,5.760763838242289
handcrafted,latest,avoid_walls,exclude_walls,2,0.8,100.72,3.087652830225574
handcrafted,latest,avoid_walls,include_walls,2,0.8,100.72,3.087652830225574
handcrafted,latest,avoid_walls,exclude_walls,2,0.9,99.3,2.726169473822199
handcrafted,latest,avoid_walls,exclude_walls,2,0.99,99.3,2.7261694738221993
handcrafted,latest,avoid_walls,include_walls,2,0.9,99.3,2.7261694738221993
handcrafted,latest,avoid_walls,include_walls,2,0.99,99.3,2.7261694738221993
handcrafted,latest,avoid_walls,exclude_walls,2,0.7,98.92,3.0635926622186567
handcrafted,latest,avoid_walls,include_walls,2,0.7,98.92,3.0635926622186567
handcrafted,latest,avoid_walls,False,2,0.99,95.76,4.9366385324429
handcrafted,latest,avoid_walls,False,2,0.8,95.75999999999999,4.936638532442899
handcrafted,latest,avoid_walls,False,2,0.9,95.75999999999999,4.936638532442899
handcrafted,latest,avoid_walls,False,2,0.7,95.46000000000001,5.119218690386257
random,latest,avoid_walls,exclude_walls,2,0.7,92.28,4.78347154271874
random,latest,avoid_walls,exclude_walls,2,0.8,92.28,4.78347154271874
random,latest,avoid_walls,exclude_walls,2,0.9,92.28,4.78347154271874
random,latest,avoid_walls,exclude_walls,2,0.99,92.28,4.78347154271874
random,latest,avoid_walls,False,2,0.7,89.22,1.8059900331950904
random,latest,avoid_walls,False,2,0.8,89.22,1.8059900331950904
random,latest,avoid_walls,False,2,0.9,89.22,1.8059900331950904
random,latest,avoid_walls,False,2,0.99,89.22,1.8059900331950904
random,latest_strongest,random,False,2,0.7,87.64000000000001,1.9053608582103303
random,random,random,include_walls,2,0.9,87.06,2.1767866225241264
random,random,random,include_walls,2,0.99,87.06,2.1767866225241264
random,latest,avoid_walls,include_walls,2,0.8,86.88000000000001,6.242243186547607
random,latest,avoid_walls,include_walls,2,0.9,86.88,6.242243186547606
random,latest,avoid_walls,include_walls,2,0.99,86.88,6.242243186547607
random,random,random,include_walls,2,0.8,86.46,2.5943014474035193
random,random,random,exclude_walls,2,0.9,86.36000000000001,1.6341358572652407
random,random,random,exclude_walls,2,0.8,86.36,1.6341358572652407
random,random,random,exclude_walls,2,0.99,86.36,1.6341358572652407
random,latest,avoid_walls,include_walls,2,0.7,86.32000000000001,5.698210245331426
random,random,random,include_walls,2,0.7,85.03999999999999,5.399851849819585
random,latest_strongest,random,include_walls,2,0.99,84.64000000000001,6.513862141617675
random,latest_strongest,random,include_walls,2,0.8,84.64,6.513862141617675
random,latest_strongest,random,include_walls,2,0.9,84.64,6.513862141617675
handcrafted,random,random,False,2,0.8,84.42,3.3510595339384834
handcrafted,latest_strongest,random,include_walls,2,0.8,84.18,9.27607675690537
handcrafted,latest_strongest,random,exclude_walls,2,0.8,84.17999999999999,9.27607675690537
random,latest_strongest,random,exclude_walls,2,0.8,83.98,5.418265405090453
random,latest_strongest,random,exclude_walls,2,0.9,83.98,5.4182654050904535
random,latest_strongest,random,exclude_walls,2,0.99,83.98,5.418265405090453
handcrafted,random,random,exclude_walls,2,0.8,83.66,4.328325311249143
handcrafted,random,random,include_walls,2,0.8,83.66,4.328325311249143
handcrafted,random,random,exclude_walls,2,0.99,83.64000000000001,4.2981856637423155
handcrafted,random,random,exclude_walls,2,0.9,83.64,4.2981856637423155
handcrafted,random,random,include_walls,2,0.9,83.63999999999999,4.2981856637423155
handcrafted,random,random,include_walls,2,0.99,83.63999999999999,4.2981856637423155
