mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,random,avoid_walls,False,2,0.7,231.12000000000003,27.85228177367162
random,random,avoid_walls,False,2,0.8,231.12000000000003,27.85228177367162
random,random,avoid_walls,False,2,0.9,231.11999999999998,27.85228177367162
random,random,avoid_walls,False,2,0.99,231.11999999999998,27.85228177367162
handcrafted,random,avoid_walls,False,2,0.7,224.82000000000002,10.370998023334106
handcrafted,random,avoid_walls,False,2,0.8,224.78000000000003,10.411032609688622
random,latest_strongest,avoid_walls,False,2,0.8,221.06000000000003,20.45332246848908
random,latest_strongest,avoid_walls,False,2,0.7,221.06,20.45332246848908
random,latest_strongest,avoid_walls,False,2,0.9,221.06,20.45332246848908
random,latest_strongest,avoid_walls,False,2,0.99,221.06,20.45332246848908
handcrafted,random,avoid_walls,False,2,0.9,220.76,16.04027431186886
handcrafted,random,avoid_walls,False,2,0.99,220.76,16.04027431186886
random,latest_strongest,avoid_walls,include_walls,2,0.7,219.7,16.87364809399556
handcrafted,latest_strongest,avoid_walls,False,2,0.9,219.42,28.101629845971573
handcrafted,latest_strongest,avoid_walls,False,2,0.99,219.42,28.101629845971573
handcrafted,latest_strongest,avoid_walls,False,2,0.7,219.3,28.03262385150559
handcrafted,random,avoid_walls,exclude_walls,2,0.7,219.07999999999998,16.743882464948204
handcrafted,random,avoid_walls,include_walls,2,0.7,219.07999999999998,16.743882464948204
handcrafted,latest_strongest,avoid_walls,False,2,0.8,218.8,27.821358701544398
random,latest_strongest,avoid_walls,include_walls,2,0.8,217.61999999999998,18.491662986329814
random,latest_strongest,avoid_walls,include_walls,2,0.9,217.61999999999998,18.491662986329814
random,latest_strongest,avoid_walls,include_walls,2,0.99,217.61999999999998,18.491662986329814
handcrafted,random,avoid_walls,exclude_walls,2,0.8,215.45999999999998,14.223586045719976
handcrafted,random,avoid_walls,exclude_walls,2,0.9,215.45999999999998,14.223586045719976
handcrafted,random,avoid_walls,exclude_walls,2,0.99,215.45999999999998,14.223586045719976
handcrafted,random,avoid_walls,include_walls,2,0.8,215.45999999999998,14.223586045719976
handcrafted,random,avoid_walls,include_walls,2,0.9,215.45999999999998,14.223586045719976
handcrafted,random,avoid_walls,include_walls,2,0.99,215.45999999999998,14.223586045719976
