mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,random,avoid_walls,False,2,0.7,391.82,12.46168527928707
random,random,avoid_walls,False,2,0.8,391.82,12.46168527928707
random,random,avoid_walls,False,2,0.9,391.82,12.46168527928707
random,random,avoid_walls,False,2,0.99,391.82,12.46168527928707
random,latest_strongest,avoid_walls,False,2,0.7,389.14000000000004,9.749174324013284
random,latest_strongest,avoid_walls,False,2,0.99,389.14000000000004,9.749174324013284
random,latest_strongest,avoid_walls,False,2,0.8,389.14,9.749174324013282
random,latest_strongest,avoid_walls,False,2,0.9,389.14,9.749174324013284
random,random,avoid_walls,exclude_walls,2,0.7,385.08000000000004,15.510177303951117
random,random,avoid_walls,exclude_walls,2,0.8,385.08000000000004,15.510177303951115
random,random,avoid_walls,exclude_walls,2,0.9,385.08,15.510177303951115
random,random,avoid_walls,exclude_walls,2,0.99,385.08,15.510177303951117
handcrafted,random,avoid_walls,exclude_walls,2,0.7,384.26000000000005,7.594366333012913
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.7,383.3,12.124850514542441
random,latest_strongest,avoid_walls,exclude_walls,2,0.7,382.18,6.399812497253337
random,latest_strongest,avoid_walls,exclude_walls,2,0.8,382.18,6.399812497253337
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,382.18,6.399812497253337
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,382.17999999999995,6.399812497253338
random,latest_strongest,avoid_walls,include_walls,2,0.99,381.44,6.685686202627231
random,latest_strongest,avoid_walls,include_walls,2,0.7,381.43999999999994,6.685686202627231
random,latest_strongest,avoid_walls,include_walls,2,0.8,381.43999999999994,6.685686202627231
random,latest_strongest,avoid_walls,include_walls,2,0.9,381.43999999999994,6.685686202627231
handcrafted,random,avoid_walls,exclude_walls,2,0.8,380.91999999999996,11.81429642424804
handcrafted,random,avoid_walls,exclude_walls,2,0.9,380.91999999999996,11.81429642424804
handcrafted,random,avoid_walls,exclude_walls,2,0.99,380.91999999999996,11.81429642424804
handcrafted,random,avoid_walls,False,2,0.7,380.88,8.707330245258875
handcrafted,random,avoid_walls,False,2,0.8,380.16,11.434614116794672
handcrafted,random,avoid_walls,False,2,0.9,380.16,11.434614116794672
handcrafted,random,avoid_walls,False,2,0.99,380.15999999999997,11.43461411679467
handcrafted,latest_strongest,avoid_walls,False,2,0.7,379.46,11.23113529435025
handcrafted,random,avoid_walls,include_walls,2,0.8,379.44000000000005,8.540398117184004
handcrafted,random,avoid_walls,include_walls,2,0.99,379.44,8.540398117184004
handcrafted,random,avoid_walls,include_walls,2,0.9,379.43999999999994,8.540398117184004
handcrafted,random,avoid_walls,include_walls,2,0.7,379.2,9.497999789429349
handcrafted,latest_strongest,avoid_walls,False,2,0.8,379.0,11.894368415346822
handcrafted,latest_strongest,avoid_walls,False,2,0.9,379.0,11.894368415346822
handcrafted,latest_strongest,avoid_walls,False,2,0.99,379.0,11.894368415346822
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.8,377.06,4.524422615096873
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.9,377.06,4.524422615096873
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.99,377.06,4.524422615096873
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.8,375.76000000000005,6.396436507931595
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.9,375.76000000000005,6.396436507931595
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.99,375.76,6.396436507931595
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.7,375.38,4.725843839993023
random,random,avoid_walls,include_walls,2,0.7,372.74,12.463482659353273
random,random,avoid_walls,include_walls,2,0.8,372.74,12.463482659353273
random,random,avoid_walls,include_walls,2,0.9,372.73999999999995,12.463482659353275
random,random,avoid_walls,include_walls,2,0.99,372.73999999999995,12.463482659353275
episodic,latest,avoid_walls,False,2,0.8,371.76000000000005,11.161290247995524
episodic,latest,avoid_walls,False,2,0.9,371.76000000000005,11.161290247995524
episodic,latest,avoid_walls,False,2,0.99,371.76,11.161290247995524
episodic,latest,avoid_walls,False,2,0.7,371.75999999999993,11.161290247995526
handcrafted,latest,avoid_walls,include_walls,2,0.7,327.76000000000005,14.078011223180651
handcrafted,latest_strongest,random,include_walls,2,0.99,320.72,6.761183328382695
handcrafted,latest_strongest,random,include_walls,2,0.8,320.71999999999997,6.761183328382696
handcrafted,latest_strongest,random,include_walls,2,0.9,320.71999999999997,6.761183328382696
handcrafted,random,random,False,2,0.8,320.44,6.380783650931914
handcrafted,random,random,False,2,0.7,319.52000000000004,13.629145240989995
handcrafted,latest,avoid_walls,include_walls,2,0.8,319.38,3.0524744061171245
handcrafted,latest,avoid_walls,include_walls,2,0.9,319.38,3.0524744061171245
handcrafted,latest,avoid_walls,include_walls,2,0.99,319.38,3.052474406117125
handcrafted,latest,avoid_walls,exclude_walls,2,0.99,319.32000000000005,3.1249959999974295
handcrafted,latest,avoid_walls,exclude_walls,2,0.8,319.32,3.124995999997429
handcrafted,latest,avoid_walls,exclude_walls,2,0.9,319.32,3.124995999997429
handcrafted,latest,avoid_walls,exclude_walls,2,0.7,319.3,4.462734587671549
handcrafted,latest,avoid_walls,False,2,0.7,319.08000000000004,11.850637113674532
handcrafted,latest,avoid_walls,False,2,0.8,318.92,12.737095430277666
handcrafted,latest,avoid_walls,False,2,0.9,318.92,12.737095430277666
handcrafted,latest,avoid_walls,False,2,0.99,318.92,12.737095430277666
random,latest_strongest,random,include_walls,2,0.8,318.78000000000003,8.604742878203844
random,latest_strongest,random,include_walls,2,0.9,318.78000000000003,8.604742878203844
random,latest_strongest,random,include_walls,2,0.99,318.78000000000003,8.604742878203844
handcrafted,random,random,False,2,0.99,316.52000000000004,11.73889262238989
handcrafted,random,random,False,2,0.9,316.52,11.738892622389892
handcrafted,random,random,include_walls,2,0.9,316.34000000000003,8.957588961322129
handcrafted,random,random,include_walls,2,0.99,316.34,8.957588961322129
handcrafted,random,random,include_walls,2,0.8,315.32,9.079735678972163
handcrafted,latest_strongest,random,exclude_walls,2,0.9,314.74,5.790544015893511
handcrafted,latest_strongest,random,exclude_walls,2,0.99,314.74,5.790544015893511
random,latest_strongest,random,include_walls,2,0.7,314.73999999999995,8.27734256872338
handcrafted,latest_strongest,random,exclude_walls,2,0.7,314.7,10.357412804363841
handcrafted,random,random,include_walls,2,0.7,314.62,5.18474685978013
episodic,latest,random,False,2,0.7,314.08000000000004,5.906403304888679
episodic,latest,random,False,2,0.8,314.08000000000004,5.906403304888678
episodic,latest,random,False,2,0.9,314.08000000000004,5.906403304888678
episodic,latest,random,False,2,0.99,314.08000000000004,5.906403304888677
random,random,random,include_walls,2,0.7,313.93999999999994,9.663663901440284
random,latest_strongest,random,False,2,0.99,313.46000000000004,14.532529029731876
random,latest_strongest,random,False,2,0.8,313.46,14.532529029731876
random,latest_strongest,random,False,2,0.9,313.46,14.532529029731876
handcrafted,random,random,exclude_walls,2,0.9,311.84000000000003,7.9283289538212305
handcrafted,random,random,exclude_walls,2,0.99,311.84000000000003,7.9283289538212305
random,random,random,False,2,0.7,311.36,11.316996067861815
handcrafted,random,random,exclude_walls,2,0.8,311.04,7.980125312299304
handcrafted,latest_strongest,random,exclude_walls,2,0.8,310.76,9.514536247237702
random,random,random,include_walls,2,0.8,310.2,8.204632837610713
random,random,random,include_walls,2,0.9,310.2,8.204632837610713
random,random,random,include_walls,2,0.99,310.2,8.204632837610713
random,latest_strongest,random,False,2,0.7,309.8,12.014990636700462
random,random,random,False,2,0.8,309.5400000000001,10.522851324617308
random,random,random,False,2,0.9,309.54,10.522851324617307
random,random,random,False,2,0.99,309.54,10.522851324617307
handcrafted,latest_strongest,random,include_walls,2,0.7,308.34000000000003,7.174844946059812
handcrafted,random,random,exclude_walls,2,0.7,308.2,6.64319200384876
random,latest_strongest,random,exclude_walls,2,0.8,308.03999999999996,6.118365794883462
random,latest_strongest,random,exclude_walls,2,0.9,308.03999999999996,6.118365794883462
random,latest_strongest,random,exclude_walls,2,0.99,308.03999999999996,6.118365794883462
handcrafted,latest_strongest,random,False,2,0.7,307.9,12.033287165193068
random,latest_strongest,random,exclude_walls,2,0.7,307.36,5.153096156680952
handcrafted,latest_strongest,random,False,2,0.8,303.69999999999993,3.657868231634381
handcrafted,latest_strongest,random,False,2,0.9,303.56000000000006,4.814810484328526
handcrafted,latest_strongest,random,False,2,0.99,303.56,4.814810484328526
handcrafted,latest,random,include_walls,2,0.8,303.1,6.303332451965397
handcrafted,latest,random,include_walls,2,0.9,303.1,6.303332451965397
handcrafted,latest,random,include_walls,2,0.99,303.1,6.303332451965397
