mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest_strongest,avoid_walls,exclude_walls,2,0.5,43.42,2.874995652170624
random,latest_strongest,avoid_walls,exclude_walls,2,0.7,43.42,2.874995652170624
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,43.42,2.874995652170624
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,43.42,2.874995652170624
random,random,avoid_walls,exclude_walls,2,0.5,43.14,3.2873089298086957
random,random,avoid_walls,exclude_walls,2,0.7,43.14,3.2873089298086957
random,random,avoid_walls,exclude_walls,2,0.9,43.14,3.2873089298086957
random,random,avoid_walls,exclude_walls,2,0.99,43.14,3.2873089298086957
random,random,avoid_walls,False,2,0.5,41.42,2.2692730113408555
random,random,avoid_walls,False,2,0.7,41.42,2.2692730113408555
random,random,avoid_walls,False,2,0.9,41.42,2.2692730113408555
random,random,avoid_walls,False,2,0.99,41.419999999999995,2.2692730113408555
random,latest_strongest,avoid_walls,False,2,0.5,41.339999999999996,2.1284736315021613
random,latest_strongest,avoid_walls,False,2,0.7,41.339999999999996,2.1284736315021613
random,latest_strongest,avoid_walls,False,2,0.9,41.339999999999996,2.1284736315021613
random,latest_strongest,avoid_walls,False,2,0.99,41.339999999999996,2.1284736315021613
random,random,avoid_walls,include_walls,2,0.5,40.0,2.7393429869222286
random,random,avoid_walls,include_walls,2,0.7,40.0,2.7393429869222286
random,random,avoid_walls,include_walls,2,0.9,40.0,2.7393429869222286
random,random,avoid_walls,include_walls,2,0.99,40.0,2.7393429869222286
episodic,latest,avoid_walls,False,2,1.0,39.760000000000005,0.6343500610861467
random,latest_strongest,avoid_walls,include_walls,2,0.5,39.68,2.8798611077619696
random,latest_strongest,avoid_walls,include_walls,2,0.7,39.68,2.87986110776197
random,latest_strongest,avoid_walls,include_walls,2,0.9,39.68,2.87986110776197
random,latest_strongest,avoid_walls,include_walls,2,0.99,39.68,2.8798611077619696
random,latest,avoid_walls,exclude_walls,2,0.5,39.04,2.8260219390514276
random,latest,avoid_walls,exclude_walls,2,0.7,39.04,2.826021939051428
random,latest,avoid_walls,exclude_walls,2,0.9,39.04,2.8260219390514276
random,latest,avoid_walls,exclude_walls,2,0.99,39.04,2.8260219390514276
random,random,random,False,2,0.5,37.02,4.884833671682179
random,latest,avoid_walls,False,2,0.5,36.7,1.714642819948225
random,latest,avoid_walls,False,2,0.9,36.7,1.714642819948225
random,latest,avoid_walls,False,2,0.99,36.7,1.714642819948225
random,latest,avoid_walls,False,2,0.7,36.699999999999996,1.714642819948225
random,latest_strongest,random,exclude_walls,2,0.7,36.64,0.6711184694224999
random,latest_strongest,random,include_walls,2,0.7,36.419999999999995,2.491906900347604
