mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
episodic,latest,avoid_walls,False,2,1.0,636.14,4.835121508297356
random,latest_strongest,avoid_walls,False,2,0.5,634.0200000000001,5.292787545329966
random,latest_strongest,avoid_walls,False,2,0.99,634.0200000000001,5.292787545329966
random,latest_strongest,avoid_walls,False,2,0.7,634.02,5.292787545329966
random,latest_strongest,avoid_walls,False,2,0.9,634.02,5.292787545329966
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,628.6400000000001,2.5231726060656583
random,latest_strongest,avoid_walls,exclude_walls,2,0.5,628.64,2.5231726060656583
random,latest_strongest,avoid_walls,exclude_walls,2,0.7,628.64,2.5231726060656583
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,628.64,2.5231726060656583
random,random,avoid_walls,False,2,0.7,627.9200000000001,3.9766317405563365
random,random,avoid_walls,False,2,0.9,627.9200000000001,3.9766317405563365
random,random,avoid_walls,False,2,0.99,627.9200000000001,3.9766317405563365
random,random,avoid_walls,False,2,0.5,627.92,3.976631740556337
random,random,avoid_walls,exclude_walls,2,0.7,627.0800000000002,3.8566306538220787
random,random,avoid_walls,exclude_walls,2,0.99,627.0800000000002,3.8566306538220787
random,random,avoid_walls,exclude_walls,2,0.9,627.08,3.8566306538220787
random,random,avoid_walls,exclude_walls,2,0.5,627.0799999999999,3.856630653822078
random,random,avoid_walls,include_walls,2,0.5,626.72,6.644215529315714
random,random,avoid_walls,include_walls,2,0.9,626.72,6.644215529315714
random,random,avoid_walls,include_walls,2,0.99,626.72,6.644215529315714
random,random,avoid_walls,include_walls,2,0.7,626.7199999999999,6.644215529315714
random,latest_strongest,avoid_walls,include_walls,2,0.9,623.5200000000001,6.275476077557811
random,latest_strongest,avoid_walls,include_walls,2,0.5,623.52,6.275476077557811
random,latest_strongest,avoid_walls,include_walls,2,0.99,623.52,6.275476077557811
random,latest_strongest,avoid_walls,include_walls,2,0.7,623.5199999999999,6.275476077557811
random,latest,avoid_walls,exclude_walls,2,0.7,562.88,2.6369679558159524
random,latest,avoid_walls,exclude_walls,2,0.9,562.88,2.6369679558159524
random,latest,avoid_walls,exclude_walls,2,0.5,562.8799999999999,2.6369679558159524
random,latest,avoid_walls,exclude_walls,2,0.99,562.8799999999999,2.6369679558159524
random,latest,avoid_walls,False,2,0.5,562.42,4.572701608458624
random,latest,avoid_walls,False,2,0.7,562.42,4.572701608458624
random,latest,avoid_walls,False,2,0.9,562.42,4.572701608458624
random,latest,avoid_walls,False,2,0.99,562.42,4.572701608458624
random,latest,avoid_walls,include_walls,2,0.5,560.76,2.9587835338192505
random,latest,avoid_walls,include_walls,2,0.7,560.76,2.9587835338192505
random,latest,avoid_walls,include_walls,2,0.9,560.76,2.9587835338192505
random,latest,avoid_walls,include_walls,2,0.99,560.76,2.9587835338192505
random,random,random,exclude_walls,2,0.9,536.6,6.085063680850008
random,random,random,exclude_walls,2,0.99,536.6,6.085063680850007
random,random,random,include_walls,2,0.99,534.48,29.570823458267114
random,random,random,include_walls,2,0.9,534.4799999999999,29.570823458267114
random,latest_strongest,random,include_walls,2,0.7,533.14,11.684622373016603
random,latest_strongest,random,exclude_walls,2,0.7,532.0,6.9498201415576215
random,latest_strongest,random,False,2,0.9,531.98,24.701773215702556
random,latest_strongest,random,False,2,0.99,531.98,24.701773215702556
random,latest_strongest,random,include_walls,2,0.9,530.72,9.761434320836242
random,latest_strongest,random,include_walls,2,0.99,530.72,9.761434320836242
random,random,random,include_walls,2,0.7,530.3199999999999,35.843180662435635
random,latest_strongest,random,exclude_walls,2,0.5,530.2,28.751486918070864
random,latest_strongest,random,False,2,0.5,527.24,16.31901957839382
random,latest_strongest,random,False,2,0.7,526.38,17.810378996528968
random,latest_strongest,random,include_walls,2,0.5,524.88,10.560189392241023
random,latest_strongest,random,exclude_walls,2,0.99,521.0600000000001,13.901309290854579
random,latest_strongest,random,exclude_walls,2,0.9,521.06,13.901309290854579
random,random,random,False,2,0.9,520.8,11.559930795640598
random,random,random,False,2,0.99,520.8,11.559930795640598
random,latest,random,False,2,0.9,519.3599999999999,24.85200997907412
random,latest,random,False,2,0.99,519.3599999999999,24.85200997907412
random,random,random,include_walls,2,0.5,519.1199999999999,14.627699750815216
random,random,random,exclude_walls,2,0.5,518.02,27.201132329371866
random,latest,random,include_walls,2,0.7,517.72,12.859455664996096
random,latest,random,exclude_walls,2,0.7,517.7,6.843098713302336
episodic,latest,random,False,2,1.0,517.52,21.721178605223052
random,latest,random,exclude_walls,2,0.5,517.26,28.982656883039557
random,random,random,False,2,0.5,517.1,20.666010742279212
random,latest,random,include_walls,2,0.9,515.2,11.202678251204038
random,latest,random,include_walls,2,0.99,515.2,11.202678251204038
random,random,random,exclude_walls,2,0.7,514.6200000000001,24.691812408164758
random,latest,random,False,2,0.5,513.54,17.92412898860081
random,latest,random,False,2,0.7,512.8399999999999,17.91910712061291
random,latest,random,include_walls,2,0.5,511.14000000000004,10.651122006624487
random,random,random,False,2,0.7,509.9,10.902476782823257
random,latest,random,exclude_walls,2,0.9,507.74000000000007,15.684591164579343
random,latest,random,exclude_walls,2,0.99,507.73999999999995,15.684591164579343
semantic,strongest,avoid_walls,False,2,0.7,141.0,7.658459375096272
semantic,strongest,avoid_walls,exclude_walls,2,0.5,140.56,4.44504218202707
semantic,strongest,avoid_walls,exclude_walls,2,0.7,140.18,7.373574438493179
semantic,strongest,avoid_walls,include_walls,2,0.5,137.74,6.062540721512728
semantic,strongest,avoid_walls,include_walls,2,0.7,137.42,6.172325331672016
semantic,strongest,avoid_walls,False,2,0.5,137.2,4.624283728319443
semantic,strongest,avoid_walls,False,2,0.99,133.88,13.214900680671045
semantic,strongest,avoid_walls,False,2,0.9,133.44,12.70898894483743
semantic,strongest,random,include_walls,2,0.7,131.62,17.907138241494646
semantic,strongest,random,exclude_walls,2,0.5,131.24,6.291772405292487
semantic,strongest,random,exclude_walls,2,0.7,129.85999999999999,11.939112194799078
semantic,strongest,random,include_walls,2,0.5,129.85999999999999,7.1326292487413046
semantic,strongest,random,False,2,0.5,129.38,1.8669761648183958
semantic,strongest,random,False,2,0.7,126.8,17.206394160311454
semantic,strongest,avoid_walls,exclude_walls,2,0.9,116.96,14.236797392672276
semantic,strongest,avoid_walls,exclude_walls,2,0.99,114.76000000000002,15.103588977458305
semantic,strongest,random,exclude_walls,2,0.9,101.24000000000001,19.026255543327483
semantic,strongest,random,exclude_walls,2,0.99,100.52000000000001,17.641247121448075
semantic,strongest,avoid_walls,include_walls,2,0.9,98.72,20.683945465021903
semantic,strongest,avoid_walls,include_walls,2,0.99,98.72,20.683945465021903
semantic,strongest,random,False,2,0.9,97.53999999999999,27.332661780368188
semantic,strongest,random,False,2,0.99,89.4,11.026694881060234
semantic,strongest,random,include_walls,2,0.9,88.34,11.61939757474543
semantic,strongest,random,include_walls,2,0.99,78.0,2.0591260281973995
random,strongest,avoid_walls,False,2,0.5,72.78,5.575804874634693
random,strongest,avoid_walls,False,2,0.7,72.78,5.575804874634693
random,strongest,avoid_walls,False,2,0.9,72.78,5.575804874634693
random,strongest,avoid_walls,False,2,0.99,72.78,5.575804874634693
random,strongest,random,exclude_walls,2,0.5,70.16,5.417231765394574
random,strongest,random,False,2,0.9,68.97999999999999,1.793766985982295
random,strongest,random,False,2,0.99,68.97999999999999,1.793766985982295
random,strongest,random,include_walls,2,0.9,68.6,2.6630809225406598
random,strongest,random,include_walls,2,0.99,68.6,2.6630809225406598
random,strongest,random,exclude_walls,2,0.7,68.5,3.704591745388419
random,strongest,random,False,2,0.7,68.34,2.574956310308975
random,strongest,random,include_walls,2,0.5,67.64000000000001,5.963421836496224
