mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest_strongest,avoid_walls,include_walls,2,0.7,25.18,1.8733926443754387
random,latest_strongest,avoid_walls,include_walls,2,0.8,25.18,1.8733926443754387
random,latest_strongest,avoid_walls,include_walls,2,0.9,25.18,1.8733926443754387
random,latest_strongest,avoid_walls,include_walls,2,0.99,25.18,1.873392644375439
random,random,avoid_walls,include_walls,2,0.7,24.880000000000003,3.0419730439305344
random,random,avoid_walls,include_walls,2,0.8,24.880000000000003,3.0419730439305344
random,random,avoid_walls,include_walls,2,0.9,24.880000000000003,3.0419730439305344
random,random,avoid_walls,include_walls,2,0.99,24.88,3.041973043930534
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.8,23.82,1.9166637681137502
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.9,23.82,1.9166637681137502
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.99,23.82,1.9166637681137502
handcrafted,random,avoid_walls,exclude_walls,2,0.7,23.6,2.282980508020163
handcrafted,latest_strongest,avoid_walls,False,2,0.8,23.580000000000002,1.9041008376659048
handcrafted,latest_strongest,avoid_walls,False,2,0.9,23.580000000000002,1.9041008376659048
handcrafted,latest_strongest,avoid_walls,False,2,0.99,23.580000000000002,1.9041008376659048
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.7,23.520000000000003,2.35236051658754
handcrafted,random,avoid_walls,exclude_walls,2,0.8,23.3,2.062037827005121
handcrafted,random,avoid_walls,exclude_walls,2,0.9,23.3,2.062037827005121
handcrafted,random,avoid_walls,exclude_walls,2,0.99,23.3,2.062037827005121
handcrafted,random,avoid_walls,False,2,0.7,23.080000000000002,2.0013995103427007
handcrafted,random,avoid_walls,False,2,0.8,23.060000000000002,2.0005999100269904
handcrafted,random,avoid_walls,False,2,0.9,23.060000000000002,2.0005999100269904
handcrafted,random,avoid_walls,False,2,0.99,23.060000000000002,2.0005999100269904
handcrafted,latest_strongest,avoid_walls,False,2,0.7,22.94,1.9417517864031952
random,latest_strongest,avoid_walls,exclude_walls,2,0.7,22.8,1.3696714934611143
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.8,22.7,2.1549941995281565
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.9,22.7,2.1549941995281565
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.99,22.7,2.1549941995281565
handcrafted,random,avoid_walls,include_walls,2,0.8,22.68,2.1282856951076843
handcrafted,random,avoid_walls,include_walls,2,0.9,22.68,2.1282856951076843
handcrafted,random,avoid_walls,include_walls,2,0.99,22.68,2.1282856951076843
random,latest_strongest,avoid_walls,exclude_walls,2,0.8,22.619999999999997,1.0684568311354468
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,22.619999999999997,1.0684568311354468
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,22.619999999999997,1.0684568311354468
random,latest_strongest,avoid_walls,False,2,0.7,21.94,1.7895250766614035
random,latest_strongest,avoid_walls,False,2,0.8,21.939999999999998,1.7895250766614035
random,latest_strongest,avoid_walls,False,2,0.9,21.939999999999998,1.7895250766614035
random,latest_strongest,avoid_walls,False,2,0.99,21.939999999999998,1.7895250766614035
random,random,avoid_walls,False,2,0.9,21.880000000000003,1.8301912468373351
random,random,avoid_walls,False,2,0.7,21.88,1.8301912468373351
random,random,avoid_walls,False,2,0.8,21.88,1.830191246837335
random,random,avoid_walls,False,2,0.99,21.88,1.8301912468373351
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.7,21.759999999999998,1.5919798993705918
handcrafted,random,avoid_walls,include_walls,2,0.7,21.740000000000002,1.618147088493502
episodic,latest,avoid_walls,False,2,0.7,21.52,1.404848746306876
