mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
handcrafted,random,avoid_walls,False,2,0.8,130.1,0.0
handcrafted,random,avoid_walls,False,2,0.9,130.1,0.0
handcrafted,random,avoid_walls,False,2,0.99,130.1,0.0
random,random,avoid_walls,include_walls,2,0.8,128.0,0.0
random,random,avoid_walls,include_walls,2,0.9,128.0,0.0
random,random,avoid_walls,include_walls,2,0.99,128.0,0.0
handcrafted,latest_strongest,avoid_walls,False,2,0.8,125.6,0.0
handcrafted,latest_strongest,avoid_walls,False,2,0.9,125.6,0.0
handcrafted,latest_strongest,avoid_walls,False,2,0.99,125.6,0.0
random,latest_strongest,avoid_walls,include_walls,2,0.8,125.5,0.0
random,latest_strongest,avoid_walls,include_walls,2,0.9,125.5,0.0
random,latest_strongest,avoid_walls,include_walls,2,0.99,125.5,0.0
episodic,latest,avoid_walls,False,2,0.8,116.3,0.0
episodic,latest,avoid_walls,False,2,0.9,116.3,0.0
episodic,latest,avoid_walls,False,2,0.99,116.3,0.0
random,random,avoid_walls,exclude_walls,2,0.8,115.8,0.0
random,random,avoid_walls,exclude_walls,2,0.9,115.8,0.0
random,random,avoid_walls,exclude_walls,2,0.99,115.8,0.0
random,latest_strongest,avoid_walls,exclude_walls,2,0.8,114.0,0.0
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,114.0,0.0
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,114.0,0.0
random,latest_strongest,avoid_walls,False,2,0.8,112.5,0.0
random,latest_strongest,avoid_walls,False,2,0.9,112.5,0.0
random,latest_strongest,avoid_walls,False,2,0.99,112.5,0.0
random,latest_strongest,random,include_walls,2,0.8,110.3,0.0
random,latest_strongest,random,include_walls,2,0.9,110.3,0.0
random,latest_strongest,random,include_walls,2,0.99,110.3,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.8,109.2,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.9,109.2,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.99,109.2,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.8,109.2,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.9,109.2,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.99,109.2,0.0
handcrafted,random,avoid_walls,exclude_walls,2,0.8,108.8,0.0
handcrafted,random,avoid_walls,exclude_walls,2,0.9,108.8,0.0
handcrafted,random,avoid_walls,exclude_walls,2,0.99,108.8,0.0
handcrafted,random,avoid_walls,include_walls,2,0.8,108.8,0.0
handcrafted,random,avoid_walls,include_walls,2,0.9,108.8,0.0
handcrafted,random,avoid_walls,include_walls,2,0.99,108.8,0.0
random,random,avoid_walls,False,2,0.8,107.6,0.0
random,random,avoid_walls,False,2,0.9,107.6,0.0
random,random,avoid_walls,False,2,0.99,107.6,0.0
random,random,random,exclude_walls,2,0.8,105.0,0.0
random,random,random,exclude_walls,2,0.9,105.0,0.0
random,random,random,exclude_walls,2,0.99,105.0,0.0
handcrafted,latest,avoid_walls,False,2,0.8,99.9,0.0
handcrafted,latest,avoid_walls,False,2,0.9,99.9,0.0
handcrafted,latest,avoid_walls,False,2,0.99,99.9,0.0
random,latest,avoid_walls,include_walls,2,0.8,98.7,0.0
random,latest,avoid_walls,include_walls,2,0.9,98.7,0.0
random,latest,avoid_walls,include_walls,2,0.99,98.7,0.0
random,latest,random,include_walls,2,0.8,97.2,0.0
random,latest,random,include_walls,2,0.9,97.2,0.0
random,latest,random,include_walls,2,0.99,97.2,0.0
