mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest_strongest,avoid_walls,exclude_walls,2,0.5,172.45999999999998,19.617298488833775
random,latest_strongest,avoid_walls,exclude_walls,2,0.7,172.45999999999998,19.61729848883377
random,random,avoid_walls,exclude_walls,2,0.5,169.74,21.043725905837107
random,random,avoid_walls,exclude_walls,2,0.7,169.74,21.043725905837107
random,random,avoid_walls,exclude_walls,2,0.99,168.38000000000002,20.203603638955105
random,random,avoid_walls,exclude_walls,2,0.9,168.38,20.203603638955105
random,random,avoid_walls,False,2,0.5,167.42000000000002,16.719736840034297
random,random,avoid_walls,False,2,0.7,167.42000000000002,16.719736840034297
random,random,avoid_walls,False,2,0.9,167.42000000000002,16.719736840034297
random,random,avoid_walls,False,2,0.99,167.42000000000002,16.719736840034297
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,164.72,16.968606306942238
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,164.71999999999997,16.968606306942238
random,random,avoid_walls,include_walls,2,0.99,158.26000000000002,12.207145448465829
random,random,avoid_walls,include_walls,2,0.7,158.26,12.207145448465829
random,random,avoid_walls,include_walls,2,0.9,158.26,12.207145448465829
random,random,avoid_walls,include_walls,2,0.5,157.92000000000002,12.867229694071677
random,latest_strongest,avoid_walls,False,2,0.5,155.82,9.608621128965389
random,latest_strongest,avoid_walls,False,2,0.7,155.82,9.608621128965389
random,latest_strongest,avoid_walls,False,2,0.9,155.82,9.608621128965389
random,latest_strongest,avoid_walls,False,2,0.99,155.82,9.608621128965389
episodic,latest,avoid_walls,False,2,1.0,155.04000000000002,8.403713464891577
random,latest,avoid_walls,exclude_walls,2,0.5,154.88000000000002,17.53789040905433
random,latest,avoid_walls,exclude_walls,2,0.7,154.88000000000002,17.537890409054334
random,latest_strongest,avoid_walls,include_walls,2,0.9,153.52,12.694943875417493
random,latest_strongest,avoid_walls,include_walls,2,0.99,153.52,12.694943875417492
random,latest_strongest,avoid_walls,include_walls,2,0.5,153.51999999999998,12.694943875417492
random,latest_strongest,avoid_walls,include_walls,2,0.7,153.51999999999998,12.694943875417492
random,latest,avoid_walls,exclude_walls,2,0.9,147.8,15.992248122137175
random,latest,avoid_walls,exclude_walls,2,0.99,147.8,15.992248122137175
random,latest,avoid_walls,False,2,0.5,140.34,9.16200851342106
random,latest,avoid_walls,False,2,0.7,140.34,9.16200851342106
random,latest,avoid_walls,False,2,0.9,140.34,9.16200851342106
random,latest,avoid_walls,False,2,0.99,140.34,9.162008513421059
random,latest,avoid_walls,include_walls,2,0.9,137.88000000000002,12.28778255015933
random,latest,avoid_walls,include_walls,2,0.99,137.88000000000002,12.28778255015933
random,latest,avoid_walls,include_walls,2,0.5,137.88,12.28778255015933
random,latest,avoid_walls,include_walls,2,0.7,137.88,12.28778255015933
random,random,random,False,2,0.5,124.63999999999999,12.049165946238768
random,random,random,False,2,0.9,112.85999999999999,16.38909393468717
random,random,random,False,2,0.99,112.85999999999999,16.38909393468717
