mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
handcrafted,random,avoid_walls,include_walls,2,0.7,482.21999999999997,54.25979727201349
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.7,470.0400000000001,52.23338396083484
random,latest_strongest,avoid_walls,include_walls,2,0.7,467.76000000000005,16.080994994091625
random,latest_strongest,avoid_walls,include_walls,2,0.9,467.76000000000005,16.080994994091625
random,latest_strongest,avoid_walls,include_walls,2,0.8,467.75999999999993,16.080994994091625
random,latest_strongest,avoid_walls,include_walls,2,0.99,467.75999999999993,16.080994994091625
random,latest_strongest,avoid_walls,False,2,0.7,467.36,29.48590171590484
random,latest_strongest,avoid_walls,False,2,0.8,467.36,29.48590171590484
random,latest_strongest,avoid_walls,False,2,0.9,467.35999999999996,29.48590171590484
random,latest_strongest,avoid_walls,False,2,0.99,467.35999999999996,29.48590171590484
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.8,466.0,42.156944860841136
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.9,466.0,42.156944860841136
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.99,466.0,42.156944860841136
handcrafted,random,avoid_walls,include_walls,2,0.8,462.06000000000006,41.15388681522073
handcrafted,random,avoid_walls,include_walls,2,0.9,462.06000000000006,41.15388681522074
handcrafted,random,avoid_walls,include_walls,2,0.99,462.06000000000006,41.15388681522073
handcrafted,latest,avoid_walls,include_walls,2,0.7,460.53999999999996,52.52083776940349
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.7,459.76000000000005,28.096875271104423
handcrafted,random,avoid_walls,False,2,0.7,459.76000000000005,32.323155786525554
random,random,avoid_walls,exclude_walls,2,0.7,459.6,33.10196368797475
random,random,avoid_walls,exclude_walls,2,0.8,459.6,33.10196368797475
random,random,avoid_walls,exclude_walls,2,0.9,459.6,33.10196368797475
random,random,avoid_walls,exclude_walls,2,0.99,459.6,33.10196368797475
random,random,avoid_walls,include_walls,2,0.7,457.88,32.81386292407524
random,random,avoid_walls,include_walls,2,0.8,457.88,32.81386292407524
random,random,avoid_walls,include_walls,2,0.9,457.88,32.81386292407524
random,random,avoid_walls,include_walls,2,0.99,457.88,32.81386292407524
handcrafted,random,avoid_walls,False,2,0.8,456.9,34.80270104460284
handcrafted,random,avoid_walls,False,2,0.9,456.9,34.80270104460284
handcrafted,random,avoid_walls,False,2,0.99,456.9,34.80270104460284
handcrafted,latest,avoid_walls,include_walls,2,0.8,456.3,42.21374183841086
handcrafted,latest,avoid_walls,include_walls,2,0.9,456.3,42.21374183841086
