mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest_strongest,avoid_walls,False,2,0.99,41.88,1.334765897077086
random,latest_strongest,avoid_walls,False,2,0.5,41.879999999999995,1.334765897077086
random,latest_strongest,avoid_walls,False,2,0.7,41.879999999999995,1.334765897077086
random,latest_strongest,avoid_walls,False,2,0.9,41.879999999999995,1.334765897077086
random,random,avoid_walls,False,2,0.7,41.46,1.776063061943466
random,random,avoid_walls,False,2,0.9,41.46,1.776063061943466
random,random,avoid_walls,False,2,0.5,41.459999999999994,1.776063061943466
random,random,avoid_walls,False,2,0.99,41.459999999999994,1.776063061943466
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,39.720000000000006,2.9348935244741
random,latest_strongest,avoid_walls,exclude_walls,2,0.7,39.72,2.9348935244741
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,39.72,2.9348935244741
random,latest_strongest,avoid_walls,exclude_walls,2,0.5,39.71999999999999,2.9348935244741
random,random,avoid_walls,exclude_walls,2,0.5,39.120000000000005,3.4890686436354335
random,random,avoid_walls,exclude_walls,2,0.7,39.120000000000005,3.4890686436354335
random,random,avoid_walls,exclude_walls,2,0.9,39.120000000000005,3.4890686436354335
random,random,avoid_walls,exclude_walls,2,0.99,39.11999999999999,3.4890686436354335
random,random,avoid_walls,include_walls,2,0.7,38.36,2.934348309250285
random,random,avoid_walls,include_walls,2,0.9,38.36,2.9343483092502853
random,random,avoid_walls,include_walls,2,0.99,38.36,2.9343483092502853
random,latest_strongest,avoid_walls,include_walls,2,0.7,38.32000000000001,2.943059632423374
random,latest_strongest,avoid_walls,include_walls,2,0.9,38.32000000000001,2.9430596324233744
random,latest_strongest,avoid_walls,include_walls,2,0.99,38.32000000000001,2.9430596324233744
random,latest_strongest,avoid_walls,include_walls,2,0.5,38.32,2.943059632423374
episodic,latest,avoid_walls,False,2,1.0,37.84,2.1564786110694443
random,latest,avoid_walls,False,2,0.9,37.34,0.9329523031752462
random,latest,avoid_walls,False,2,0.5,37.339999999999996,0.9329523031752462
random,latest,avoid_walls,False,2,0.7,37.339999999999996,0.9329523031752462
random,latest,avoid_walls,False,2,0.99,37.339999999999996,0.9329523031752462
random,random,avoid_walls,include_walls,2,0.5,36.56,4.81937755317012
random,latest,avoid_walls,exclude_walls,2,0.5,35.46,2.973617325749904
random,latest,avoid_walls,exclude_walls,2,0.7,35.46,2.9736173257499035
random,latest,avoid_walls,exclude_walls,2,0.9,35.46,2.9736173257499035
random,latest,avoid_walls,exclude_walls,2,0.99,35.46,2.9736173257499035
random,latest,avoid_walls,include_walls,2,0.5,33.339999999999996,2.6911707489492382
random,latest,avoid_walls,include_walls,2,0.7,33.339999999999996,2.6911707489492382
random,latest,avoid_walls,include_walls,2,0.9,33.339999999999996,2.6911707489492387
random,latest,avoid_walls,include_walls,2,0.99,33.339999999999996,2.6911707489492382
random,latest_strongest,random,include_walls,2,0.9,32.0,2.7018512172212596
random,latest_strongest,random,include_walls,2,0.99,32.0,2.7018512172212596
random,latest_strongest,random,include_walls,2,0.7,30.139999999999997,2.6732751448363863
random,latest,random,include_walls,2,0.9,29.9,2.906544339933592
random,latest,random,include_walls,2,0.99,29.9,2.906544339933592
random,latest_strongest,random,include_walls,2,0.5,29.439999999999998,1.8172506706560876
random,latest_strongest,random,False,2,0.5,29.240000000000002,2.0185143051264207
random,random,random,False,2,0.9,29.160000000000004,3.4308016555901326
random,random,random,False,2,0.99,29.160000000000004,3.4308016555901326
random,latest_strongest,random,False,2,0.9,28.339999999999996,2.483223711227002
random,latest_strongest,random,False,2,0.99,28.339999999999996,2.483223711227002
random,latest,random,include_walls,2,0.7,28.119999999999997,3.03539124331609
random,random,random,False,2,0.7,27.8,3.5082759298550044
random,random,random,include_walls,2,0.5,27.78,4.738945030278363
random,latest_strongest,random,exclude_walls,2,0.7,27.6,2.882360144048623
random,random,random,False,2,0.5,27.579999999999995,1.4330387294138285
random,random,random,exclude_walls,2,0.9,27.4,2.38159610345667
random,random,random,exclude_walls,2,0.99,27.4,2.38159610345667
random,latest,random,include_walls,2,0.5,27.360000000000003,1.8402173784637514
