mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.8,853.8,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.9,853.8,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.99,853.8,0.0
handcrafted,latest_strongest,avoid_walls,False,2,0.8,847.7,0.0
handcrafted,latest_strongest,avoid_walls,False,2,0.9,847.7,0.0
handcrafted,latest_strongest,avoid_walls,False,2,0.99,847.7,0.0
random,latest_strongest,avoid_walls,include_walls,2,0.8,842.3,0.0
random,latest_strongest,avoid_walls,include_walls,2,0.9,842.3,0.0
random,latest_strongest,avoid_walls,include_walls,2,0.99,842.3,0.0
random,latest_strongest,avoid_walls,exclude_walls,2,0.8,842.2,0.0
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,842.2,0.0
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,842.2,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.8,841.0,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.9,841.0,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.99,841.0,0.0
episodic,latest,avoid_walls,False,2,0.8,840.2,0.0
episodic,latest,avoid_walls,False,2,0.9,840.2,0.0
episodic,latest,avoid_walls,False,2,0.99,840.2,0.0
handcrafted,latest,avoid_walls,exclude_walls,2,0.8,839.0,0.0
handcrafted,latest,avoid_walls,exclude_walls,2,0.9,839.0,0.0
handcrafted,latest,avoid_walls,exclude_walls,2,0.99,839.0,0.0
handcrafted,latest,avoid_walls,False,2,0.8,834.8,0.0
handcrafted,latest,avoid_walls,False,2,0.9,834.8,0.0
handcrafted,latest,avoid_walls,False,2,0.99,834.8,0.0
handcrafted,random,avoid_walls,False,2,0.8,834.4,0.0
handcrafted,random,avoid_walls,False,2,0.9,834.4,0.0
handcrafted,random,avoid_walls,False,2,0.99,834.4,0.0
handcrafted,random,avoid_walls,exclude_walls,2,0.8,831.6,0.0
handcrafted,random,avoid_walls,exclude_walls,2,0.9,831.6,0.0
handcrafted,random,avoid_walls,exclude_walls,2,0.99,831.6,0.0
random,latest_strongest,avoid_walls,False,2,0.8,831.1,0.0
random,latest_strongest,avoid_walls,False,2,0.9,831.1,0.0
random,latest_strongest,avoid_walls,False,2,0.99,831.1,0.0
handcrafted,latest,avoid_walls,include_walls,2,0.8,827.0,0.0
handcrafted,latest,avoid_walls,include_walls,2,0.9,827.0,0.0
handcrafted,latest,avoid_walls,include_walls,2,0.99,827.0,0.0
random,random,avoid_walls,exclude_walls,2,0.8,825.6,0.0
random,random,avoid_walls,exclude_walls,2,0.9,825.6,0.0
random,random,avoid_walls,exclude_walls,2,0.99,825.6,0.0
random,random,avoid_walls,False,2,0.8,819.4,0.0
random,random,avoid_walls,False,2,0.9,819.4,0.0
random,random,avoid_walls,False,2,0.99,819.4,0.0
random,random,avoid_walls,include_walls,2,0.8,819.0,0.0
random,random,avoid_walls,include_walls,2,0.9,819.0,0.0
random,random,avoid_walls,include_walls,2,0.99,819.0,0.0
handcrafted,random,avoid_walls,include_walls,2,0.8,814.2,0.0
handcrafted,random,avoid_walls,include_walls,2,0.9,814.2,0.0
handcrafted,random,avoid_walls,include_walls,2,0.99,814.2,0.0
random,latest,avoid_walls,False,2,0.8,670.0,0.0
random,latest,avoid_walls,False,2,0.9,670.0,0.0
random,latest,avoid_walls,False,2,0.99,670.0,0.0
random,latest,avoid_walls,include_walls,2,0.8,666.0,0.0
random,latest,avoid_walls,include_walls,2,0.9,666.0,0.0
random,latest,avoid_walls,include_walls,2,0.99,666.0,0.0
random,latest,avoid_walls,exclude_walls,2,0.8,665.5,0.0
random,latest,avoid_walls,exclude_walls,2,0.9,665.5,0.0
random,latest,avoid_walls,exclude_walls,2,0.99,665.5,0.0
random,latest_strongest,random,exclude_walls,2,0.8,584.8,0.0
random,latest_strongest,random,exclude_walls,2,0.9,584.8,0.0
random,latest_strongest,random,exclude_walls,2,0.99,584.8,0.0
random,latest_strongest,random,False,2,0.8,584.7,0.0
random,latest_strongest,random,False,2,0.9,584.7,0.0
random,latest_strongest,random,False,2,0.99,584.7,0.0
handcrafted,random,random,False,2,0.8,566.7,0.0
handcrafted,random,random,False,2,0.9,566.7,0.0
handcrafted,random,random,False,2,0.99,566.7,0.0
handcrafted,random,random,exclude_walls,2,0.8,565.8,0.0
handcrafted,random,random,exclude_walls,2,0.9,565.8,0.0
handcrafted,random,random,exclude_walls,2,0.99,565.8,0.0
handcrafted,random,random,include_walls,2,0.8,562.8,0.0
handcrafted,random,random,include_walls,2,0.9,562.8,0.0
handcrafted,random,random,include_walls,2,0.99,562.8,0.0
handcrafted,latest_strongest,random,include_walls,2,0.8,558.9,0.0
handcrafted,latest_strongest,random,include_walls,2,0.9,558.9,0.0
handcrafted,latest_strongest,random,include_walls,2,0.99,558.9,0.0
handcrafted,latest,random,include_walls,2,0.8,556.2,0.0
handcrafted,latest,random,include_walls,2,0.9,556.2,0.0
handcrafted,latest,random,include_walls,2,0.99,556.2,0.0
random,latest_strongest,random,include_walls,2,0.8,552.8,0.0
random,latest_strongest,random,include_walls,2,0.9,552.8,0.0
random,latest_strongest,random,include_walls,2,0.99,552.8,0.0
random,latest,random,exclude_walls,2,0.8,547.5,0.0
random,latest,random,exclude_walls,2,0.9,547.5,0.0
random,latest,random,exclude_walls,2,0.99,547.5,0.0
random,latest,random,False,2,0.8,547.0,0.0
random,latest,random,False,2,0.9,547.0,0.0
random,latest,random,False,2,0.99,547.0,0.0
handcrafted,latest_strongest,random,False,2,0.99,531.7,0.0
episodic,latest,random,False,2,0.8,530.7,0.0
episodic,latest,random,False,2,0.9,530.7,0.0
episodic,latest,random,False,2,0.99,530.7,0.0
handcrafted,latest,random,False,2,0.99,528.2,0.0
handcrafted,latest_strongest,random,False,2,0.8,528.1,0.0
handcrafted,latest_strongest,random,exclude_walls,2,0.8,524.3,0.0
handcrafted,latest_strongest,random,exclude_walls,2,0.9,524.3,0.0
handcrafted,latest_strongest,random,exclude_walls,2,0.99,524.3,0.0
random,random,random,exclude_walls,2,0.8,524.3,0.0
random,random,random,exclude_walls,2,0.9,524.3,0.0
random,random,random,exclude_walls,2,0.99,524.3,0.0
handcrafted,latest,random,False,2,0.8,523.6,0.0
random,latest,random,include_walls,2,0.8,521.3,0.0
random,latest,random,include_walls,2,0.9,521.3,0.0
random,latest,random,include_walls,2,0.99,521.3,0.0
handcrafted,latest,random,exclude_walls,2,0.8,520.8,0.0
handcrafted,latest,random,exclude_walls,2,0.9,520.8,0.0
handcrafted,latest,random,exclude_walls,2,0.99,520.8,0.0
random,random,random,include_walls,2,0.8,515.1,0.0
random,random,random,include_walls,2,0.9,515.1,0.0
random,random,random,include_walls,2,0.99,515.1,0.0
random,random,random,False,2,0.8,513.3,0.0
random,random,random,False,2,0.9,513.3,0.0
random,random,random,False,2,0.99,513.3,0.0
handcrafted,latest_strongest,random,False,2,0.9,513.2,0.0
handcrafted,latest,random,False,2,0.9,509.5,0.0
semantic,strongest,avoid_walls,False,2,0.8,355.7,0.0
semantic,strongest,avoid_walls,False,2,0.9,355.7,0.0
semantic,strongest,avoid_walls,False,2,0.99,355.7,0.0
semantic,strongest,avoid_walls,exclude_walls,2,0.8,302.2,0.0
semantic,strongest,avoid_walls,exclude_walls,2,0.9,302.2,0.0
semantic,strongest,avoid_walls,exclude_walls,2,0.99,302.2,0.0
semantic,strongest,random,False,2,0.8,300.7,0.0
semantic,strongest,random,include_walls,2,0.8,295.0,0.0
semantic,strongest,random,exclude_walls,2,0.8,291.8,0.0
semantic,strongest,random,False,2,0.99,286.4,0.0
semantic,strongest,random,False,2,0.9,243.6,0.0
semantic,strongest,random,exclude_walls,2,0.9,243.1,0.0
semantic,strongest,random,include_walls,2,0.9,240.2,0.0
semantic,strongest,random,include_walls,2,0.99,210.4,0.0
semantic,strongest,random,exclude_walls,2,0.99,209.3,0.0
semantic,strongest,avoid_walls,include_walls,2,0.8,207.7,0.0
semantic,strongest,avoid_walls,include_walls,2,0.9,207.7,0.0
semantic,strongest,avoid_walls,include_walls,2,0.99,207.7,0.0
random,strongest,random,exclude_walls,2,0.8,190.8,0.0
random,strongest,random,exclude_walls,2,0.9,190.8,0.0
random,strongest,random,exclude_walls,2,0.99,190.8,0.0
random,strongest,random,False,2,0.8,180.7,0.0
random,strongest,random,False,2,0.9,180.7,0.0
random,strongest,random,False,2,0.99,180.7,0.0
random,strongest,avoid_walls,exclude_walls,2,0.8,178.8,0.0
random,strongest,avoid_walls,exclude_walls,2,0.9,178.8,0.0
random,strongest,avoid_walls,exclude_walls,2,0.99,178.8,0.0
random,strongest,avoid_walls,include_walls,2,0.8,177.1,0.0
random,strongest,avoid_walls,include_walls,2,0.9,177.1,0.0
random,strongest,avoid_walls,include_walls,2,0.99,177.1,0.0
random,strongest,random,include_walls,2,0.8,168.7,0.0
random,strongest,random,include_walls,2,0.9,168.7,0.0
random,strongest,random,include_walls,2,0.99,168.7,0.0
random,strongest,avoid_walls,False,2,0.8,164.3,0.0
random,strongest,avoid_walls,False,2,0.9,164.3,0.0
random,strongest,avoid_walls,False,2,0.99,164.3,0.0
handcrafted,strongest,random,False,2,0.9,19.0,0.0
handcrafted,strongest,random,False,2,0.8,18.2,0.0
handcrafted,strongest,random,False,2,0.99,17.1,0.0
