mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.99,23.940000000000005,1.485395570210172
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.8,23.94,1.485395570210172
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.9,23.939999999999998,1.485395570210172
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.7,23.759999999999998,1.8227451824103118
handcrafted,latest_strongest,avoid_walls,False,2,0.8,23.6,1.4436065946094878
handcrafted,latest_strongest,avoid_walls,False,2,0.9,23.6,1.4436065946094878
handcrafted,latest_strongest,avoid_walls,False,2,0.99,23.6,1.4436065946094878
handcrafted,random,avoid_walls,exclude_walls,2,0.8,23.6,1.5126136320951233
handcrafted,random,avoid_walls,exclude_walls,2,0.9,23.6,1.5126136320951233
handcrafted,random,avoid_walls,exclude_walls,2,0.99,23.599999999999998,1.5126136320951233
random,random,avoid_walls,include_walls,2,0.8,23.580000000000002,2.01136769388394
random,random,avoid_walls,include_walls,2,0.9,23.580000000000002,2.0113676938839395
random,random,avoid_walls,include_walls,2,0.99,23.580000000000002,2.01136769388394
random,random,avoid_walls,include_walls,2,0.7,23.440000000000005,1.930388561922184
handcrafted,latest_strongest,avoid_walls,False,2,0.7,23.419999999999998,1.7543089807670713
handcrafted,random,avoid_walls,exclude_walls,2,0.7,23.380000000000003,1.747455292704223
handcrafted,random,avoid_walls,False,2,0.7,23.060000000000002,1.6572265988693284
random,random,avoid_walls,exclude_walls,2,0.7,23.04,2.3736891119099828
random,latest_strongest,avoid_walls,exclude_walls,2,0.8,22.96,1.3425349157470723
random,latest_strongest,avoid_walls,exclude_walls,2,0.7,22.959999999999997,1.3425349157470723
random,latest_strongest,avoid_walls,exclude_walls,2,0.9,22.959999999999997,1.3425349157470723
random,latest_strongest,avoid_walls,exclude_walls,2,0.99,22.959999999999997,1.3425349157470723
handcrafted,random,avoid_walls,False,2,0.9,22.880000000000003,1.8829763673503712
handcrafted,random,avoid_walls,False,2,0.8,22.88,1.8829763673503714
handcrafted,random,avoid_walls,False,2,0.99,22.88,1.8829763673503712
episodic,latest,avoid_walls,False,2,0.8,22.84,2.975634386143566
episodic,latest,avoid_walls,False,2,0.9,22.84,2.9756343861435663
episodic,latest,avoid_walls,False,2,0.7,22.839999999999996,2.975634386143566
episodic,latest,avoid_walls,False,2,0.99,22.839999999999996,2.975634386143566
random,random,avoid_walls,exclude_walls,2,0.9,22.660000000000004,2.9963978374041056
random,random,avoid_walls,exclude_walls,2,0.8,22.659999999999997,2.9963978374041056
random,random,avoid_walls,exclude_walls,2,0.99,22.659999999999997,2.9963978374041056
random,latest_strongest,avoid_walls,include_walls,2,0.7,22.18,3.6804347569275024
random,latest_strongest,avoid_walls,include_walls,2,0.8,22.18,3.6804347569275024
random,latest_strongest,avoid_walls,include_walls,2,0.9,22.18,3.6804347569275024
random,latest_strongest,avoid_walls,include_walls,2,0.99,22.18,3.6804347569275024
handcrafted,latest,avoid_walls,exclude_walls,2,0.8,21.46,1.2240914998479486
handcrafted,latest,avoid_walls,exclude_walls,2,0.9,21.46,1.2240914998479486
handcrafted,latest,avoid_walls,exclude_walls,2,0.99,21.46,1.2240914998479486
handcrafted,latest,avoid_walls,False,2,0.8,21.360000000000003,1.3154466921924282
handcrafted,latest,avoid_walls,False,2,0.99,21.360000000000003,1.3154466921924282
handcrafted,latest,avoid_walls,False,2,0.9,21.36,1.3154466921924282
random,latest_strongest,avoid_walls,False,2,0.7,21.339999999999996,2.4589428622885894
random,latest_strongest,avoid_walls,False,2,0.8,21.339999999999996,2.4589428622885894
random,latest_strongest,avoid_walls,False,2,0.9,21.339999999999996,2.4589428622885894
random,latest_strongest,avoid_walls,False,2,0.99,21.339999999999996,2.4589428622885894
handcrafted,latest,avoid_walls,exclude_walls,2,0.7,21.32,1.399142594591417
handcrafted,random,random,exclude_walls,2,0.7,21.24,1.6304600577751058
handcrafted,latest,avoid_walls,False,2,0.7,21.22,1.4702380759591294
handcrafted,random,random,False,2,0.7,21.02,3.2121021154378013
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.7,21.0,2.7247018185482244
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.9,21.0,2.7247018185482244
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.99,21.0,2.7247018185482244
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.8,20.999999999999996,2.7247018185482244
handcrafted,random,random,include_walls,2,0.9,20.84,1.121784292990413
handcrafted,random,random,include_walls,2,0.99,20.84,1.121784292990413
random,random,avoid_walls,False,2,0.9,20.84,1.412232275512778
random,random,avoid_walls,False,2,0.99,20.84,1.412232275512778
random,random,avoid_walls,False,2,0.7,20.839999999999996,1.412232275512778
random,random,avoid_walls,False,2,0.8,20.839999999999996,1.4122322755127779
handcrafted,random,avoid_walls,include_walls,2,0.7,20.740000000000002,2.856291301670752
handcrafted,random,avoid_walls,include_walls,2,0.8,20.740000000000002,2.856291301670752
handcrafted,random,avoid_walls,include_walls,2,0.9,20.740000000000002,2.856291301670752
handcrafted,random,avoid_walls,include_walls,2,0.99,20.740000000000002,2.856291301670752
handcrafted,latest_strongest,random,False,2,0.7,20.74,2.8032837887020996
handcrafted,random,random,False,2,0.8,20.720000000000002,1.589213642025515
handcrafted,random,random,False,2,0.99,20.720000000000002,1.589213642025515
handcrafted,random,random,False,2,0.9,20.72,1.5892136420255147
handcrafted,random,random,exclude_walls,2,0.8,20.72,1.8037738217415171
handcrafted,random,random,exclude_walls,2,0.9,20.72,1.8037738217415171
